cocktail_id,cocktail,ingredient_count
2942,"Jungle Juice",13
12,"Burning Pine Needles",10
259,"Bleeding Weasel",10
270,"Blood Mary Extra Hairy",10
1353,"Caribbean Smoked Torch",10
1408,"Cinnamon Bloody Mary",10
2003,"Eric`s Bloody Bull",10
2244,"Fall Spice Cordial",10
2356,"Angel`s Fall",10
2451,"Green and Gold Bloody",10
3000,"At Deaths Door",10
3563,"Original Mulekicker",10
3771,"Paralyzer 3",10
3832,"Amaretto Liqueur",10
3842,"Pepper Bloody Mary",10
4028,"Suck Bang and Blow",10
4272,"Tropical Oasis Cocktail",10
4642,"Mason Jar Bloody Mary",10
4845,"Bad Attitude",10
4888,"Brain Blender",10
4720,"Blue Tahoe",9
4929,"Bahama Breeze",9
4960,"Boston Tea Party",9
4984,"Bloody Morning",9
501,"Arizona Twister",9
529,"Baltimore Zoo",9
1034,Alebrije,9
1283,"Caribbean Fly",9
1775,"Dirty Ashtray",9
2017,"The Extinguisher",9
2450,"Ginein`s Raspberry Surprise",9
2536,"Hurricane Cocktail",9
2550,"Hurricane 2",9
2562,"Helluva Hurricane",9
2859,"Jake`s Bloody Mary",9
2901,"Jet Pilot",9
3205,"Mike`s Bloody Mary",9
3258,"Mess You Up",9
3268,"Mike`s Long Beach",9
3478,"Alexi`s Spicy Bloody Mary",9
3649,"Planter`s Punch (Americanised)",9
4543,"187 Cocktail",9
74,"Beachcomber 2",8
81,"Beatle Juice",8
206,"Bone Crusher",8
251,"Black-Cherry Rum Punch",8
256,"Blame It On Rio",8
268,"Aruba Rum Punch",8
281,"Bloody Mariana",8
283,"Bloody Maru",8
335,AsiaToo,8
369,"Bourbon Sangaree",8
376,"Bowl Hugger",8
591,"Bailey`s Banana Vanilla Thrilla",8
597,"Bloody Mary 2",8
710,"Black Opal Drink Cocktail",8
724,"White Christmas sangria",8
727,"Charmander Pokemon Cocktail",8
767,"Agent Orange",8
865,Cocobanana,8
875,"Cryonic Shock",8
878,"Algonquin Bloody Mary",8
929,"Ciclonic Hurricane",8
1017,"Category 5",8
1036,"Cancun Rum Runner",8
1076,Cazuela,8
1116,"Choco Colada",8
1291,Charybdis,8
1309,"Cherry Breeze",8
1349,"Chili Margarita",8
1489,"Chocolate Chicken",8
1495,"Chocolate Espresso",8
1505,"Chocolate XS",8
1604,"Cold Hearted Threesome",8
1645,"All Plucked Up",8
1659,"California Iced Tea",8
1709,"Chocolate Monkey",8
1727,"Chocolate Sin Cocktail",8
1760,"Drum Cocktail",8
1915,"Dale`s Long Island Iced Tea",8
1984,"Eskimo Joe`s Drink",8
2015,"Electric Koolaid",8
2045,Aquatini,8
2169,"F*cked by a Pharaoh",8
2174,"Frosty Lay",8
2310,"Gingerbread martini",8
2551,"Hurricane Leah",8
2645,"Harm`s Way",8
2658,"Hpnotiq Long Island Ice Tea",8
2664,"Homemade Coquito Bueno",8
2825,"Jello Shots in Oranges",8
2847,"Jamaican Zombie",8
3145,"Long Iver Iced Tea",8
3156,"Long Beach Iced Tea",8
3160,"Long Island Cocktail",8
3186,"Mexican Mocha",8
3215,"Motherf*cker 2",8
3274,"Mountain Berry Punch",8
3339,"Mulled Port",8
3380,"Mai Tai 3",8
3394,Medd,8
3405,"Mongolian Motherf*cker",8
3441,"Mai Tai Cocktail",8
3449,"Mockingjay Smash Cocktail",8
3458,"Nutella and Baileys martini",8
3527,"Oh Il-nam – Squid Game Cocktail",8
3540,"Oyster Bay",8
3571,"Otter Pop 2",8
3656,"Princess Cocktail",8
3890,"Rising Skirt",8
3896,"Ritz Old-Fashioned",8
3913,"Rockin` Killer Koolaid",8
3966,"Radioactive Long Island Iced Tea",8
4140,"Alien Urine Sample",8
4197,Sima,8
4199,"Sangria Liqueur Classic",8
4209,"Sex with the Bartender",8
4266,"Texas Pink Cloud",8
4344,"Time of the month",8
4372,"Texas Tea",8
4380,"Tom`s Rum Runner",8
4509,"Walk Me Down (Sweet Jesus)",8
4513,"Wassail 2",8
4537,"Zombie Cocktail",8
4640,"Mason Jar Blueberry Mojito",8
4641,"Mason Jar Berry Mint Gin Smash",8
4656,"Bulbasaur Pokemon Cocktail",8
4843,"Blueberry Freeze",8
4879,"Bondages` No Problem",8
4902,"Bloody Butrum",8
5043,"Bloody Urine",8
4651,"Bullfrog Cocktail",7
4664,"Adios Motherf*cker Cocktail",7
4666,"Bushwacker 2",7
4671,"Barnaby`s Buffalo Blizzard",7
4691,Berrynice,7
4715,Bonecrusher,7
4722,"Bali Hai",7
4724,"Burt Reynolds Cocktail",7
4848,"Bahama Todd",7
4853,"Bali Dream",7
4912,"Bloody Caesar",7
4915,"Bahama Mama 2",7
4950,Apocalypse,7
4951,"Beach Bum`s Cooler",7
4964,"Buttercream Tea",7
5029,"Big Red Hooter 2",7
5053,"Black and White Cherry",7
16,"Bleeding Apple",7
46,"Apple Granny Crisp",7
106,"Bermuda Bloom",7
109,"Berry Cool",7
174,"Blueberry Rumba",7
275,"Bloody Demon From Hell",7
301,"Asian Sensation",7
333,"Blue MotherF*cker 2",7
337,"Blue Mother",7
412,"Almond Cooler",7
419,"Burning Demon Piss",7
435,"Brandy Eggnog",7
462,"Breakfast Eggnog",7
467,Brimstone,7
528,"Blue Motorcycle",7
540,"Belize Rum Punch",7
572,"Blue Devil",7
595,"Boston Ice Tea",7
618,"Bloody Virgin Bull",7
646,"Bite Your Mama Bloody Mary",7
707,"Blue Pixie Stick Cocktail",7
742,"Cherry Fluster",7
752,"Champagne Flip",7
896,"Cherry Bomber",7
903,"Chinese Mary",7
915,"Carolina Dream",7
944,"Citrus Rum Cooler",7
953,"China Village Mai Tai",7
977,"Citrus Cactus",7
1027,"Conn`s Fruity Beverage",7
1029,"The Crypt",7
1056,Attitude,7
1062,"Cherry Chocolate Milk Royal",7
1067,"Aztec Surfboard",7
1085,"Cherry Long Island",7
1130,"Charles Bronson",7
1146,"Apricot Lady",7
1147,"Cream Sherry Sangaree",7
1202,"Christmas Elf`s Revenge",7
1209,"Colorado Coolaid",7
1245,"Canadian Salad",7
1248,"Canadian Zombie",7
1316,"Cherry Daiquiri",7
1357,"Anchors Away",7
1366,"Carribean Catholic",7
1383,Celestia,7
1419,"Citron Cheese Cake",7
1458,"Club Tropix",7
1465,CoCito,7
1466,"Cocoa Colada",7
1524,"Chronic Ice Tea",7
1533,"Coconut Daiquiri",7
1551,"Creamy Pina Colada",7
1647,Coquito,7
1670,"Coffee Egg Nog",7
1691,"Calypso Cooler",7
1723,"Allison`s Purple Nurple",7
1738,"D*ck in the Dirt",7
1761,"Deer Killer",7
1765,"Dressed Up Like A Dogs Dinner",7
1767,"Aloha Paradise",7
1865,"Dead Bastard",7
1910,"Double Fudge Martini 2",7
1960,"District 12 Punch Cocktail",7
1974,"Elderflower and gin soda",7
1975,"Espeon Pokemon Cocktail",7
1977,Eleven,7
1980,"Halloween Eyeball Jello Shots",7
1992,"Eye of the Tiger",7
2028,"Electric Long Island Iced Tea",7
2163,"Fruity Carebare",7
2204,"Fog Cutter",7
2206,"F*ck Me Hard",7
2218,"Florida Pina Colada",7
2232,"Five in the Morning",7
2243,"Fresh Mint Liqueur",7
2312,"Glaceon Pokemon Cocktail",7
2334,Angelfire,7
2339,"Grateful Dead 3",7
2340,Goldie,7
2346,"Golden Sunrise",7
2347,"Green Wave",7
2349,"Ginger Bite",7
2397,"Golden Colada",7
2415,"Great Attitude",7
2446,Gluhwein,7
2459,"Grape Bubbolicious",7
2479,"Grateful Dead 2",7
2501,"Galliano Liqueur",7
2532,"Growing Strong Cocktail",7
2543,"Hand Grenade Cocktail",7
2545,"Hunch Punch Cocktail",7
2557,"Hot Jamaican",7
2559,"Hot Frenchman",7
2569,"Hawaii Mai Tai",7
2572,"Hell`s Mary",7
2612,"Hawaiian Island Sunset",7
2616,"Honey Bunny",7
2626,"Hot Buttered Rum Batter 3",7
2639,"Hawaiian Eye",7
2653,Hummingbird,7
2657,"H-Bomb Cocktail",7
2670,"Hot Buttered Rum Batter",7
2695,"Harlem Nights Cocktail",7
2698,"Haymitchs Hooch cocktail",7
2700,"Amaretto Cruise",7
2702,"Han Solo Cocktail",7
2713,"Irish Trash Can Cocktail",7
2726,"Iron Bar Sling",7
2778,"Amaretto Seduction",7
2781,"Irish Cream BTB",7
2788,"Irish Cream. Home Made 2",7
