typing.Literal[<no_default>],cocktail_id,ingredient_id,quantity
0,0,461,1 oz
1,0,265,.5 oz
2,0,263,.25 oz
3,0,257,1 oz
4,0,523,1 tsp
5,0,297,1 oz
6,9,461,1 oz
7,9,851,1 oz
8,20,461,3/4 oz
9,20,257,2 oz
10,20,976,3/4 oz
11,20,785,3/4 oz
12,20,574,1 tsp
13,20,630,1/4 oz
14,33,461,2.5 oz
15,33,986,4 oz
16,33,326,2.5 oz
17,34,461,3/4 oz
18,34,461,3/4 oz
19,34,851,1/4 oz
20,34,405,2 - 3 Dash(s)
21,40,461,1 oz
22,40,67,.5 oz
23,40,143,
24,40,4,.5 oz
25,42,461,1 1/4 oz
26,42,143,
27,42,234,
28,42,851,1 oz
29,42,4,1 oz
30,46,461,.5 oz
31,46,499,.5 oz
32,46,27,2 Scoop(s)
33,46,914,1 oz
34,46,949,2
35,46,17,.5 oz
36,46,954,1 Pinch(s)
37,66,461,1 oz
38,66,785,1 oz
39,66,4,3/4 oz
40,80,461,1 oz
41,80,732,1 oz
42,80,699,1 oz
43,94,461,.5 oz
44,94,265,2 oz
45,94,574,.5 tsp
46,94,851,1 tsp
47,94,556,2 Dash(s)
48,102,461,1.5 oz
49,102,736,1 oz
50,102,4,.5 oz
51,102,249,2 Dash(s)
52,102,370,.5 oz
53,104,461,1.5 oz
54,104,736,1 oz
55,104,4,.5 oz
56,104,370,.5 oz
57,114,461,1.5 oz
58,114,321,1 oz
59,114,4,1 oz
60,114,938,1.5 oz
61,130,461,.5 oz
62,130,703,1
63,130,691,.5 oz
64,130,521,.5 oz
65,150,461,2 oz
66,150,703,1
67,150,545,1 oz
68,152,461,1/4 oz
69,152,257,3/4 oz
70,152,785,.5 oz
71,152,851,1/4 oz
72,152,481,1/4 oz
73,152,82,1 Dash(s)
74,159,461,4 Part(s)
75,159,265,2 Part(s)
76,159,851,1 Part(s)
77,159,249,1 Dash(s)
78,170,461,1 oz
79,170,666,1.5 oz
80,170,951,.5 oz
81,201,461,1/4 oz
82,201,257,1 1/4 oz
83,201,143,1 oz
84,201,938,3/4 oz
85,201,235,8 oz
86,201,489,1/4 oz
87,203,461,1 oz
88,203,265,.5 oz
89,203,4,.5 tsp
90,203,869,.5 oz
91,203,486,1/4 tsp
92,207,461,1 oz
93,207,257,4 oz
94,207,523,1 Dash(s)
95,207,785,4 oz
96,207,276,1 Dash(s)
97,210,461,1 oz
98,210,851,3/4 oz
99,217,461,2 oz
100,217,963,.5 oz
101,217,703,1
102,224,461,1.5 oz
103,224,368,.5 oz
104,224,869,.5 oz
105,228,461,1 tsp
106,228,485,.5 oz
107,228,851,2 oz
108,236,461,.5 oz
109,236,523,2 tsp
110,236,938,1 oz
111,236,545,.5 oz
112,239,461,1.5 oz
113,239,265,.5 oz
114,239,4,2 tsp
115,239,869,.5 oz
116,259,461,1/4 oz
117,259,257,1 oz
118,259,321,4 oz
119,259,421,1/4 oz
120,259,666,1/4 oz
121,259,4,1/4 oz
122,259,706,1/4 oz
123,259,258,1/4 oz
124,259,906,1/4 oz
125,259,836,1/4 oz
126,265,461,3/4 oz
127,265,461,3/4 oz
128,265,851,3/4 oz
129,265,405,.5 oz
130,310,461,2 oz
131,310,785,1 oz
132,310,249,2 oz
133,350,461,1 oz
134,350,251,3/4 oz
135,350,890,2 oz
136,352,461,2 tbsp
137,352,485,2 oz
138,352,421,2 tbsp
139,352,222,2 oz
140,352,446,2 Scoop(s)
141,358,461,3/4 oz
142,358,67,3/4 oz
143,358,4,3/4 oz
144,358,66,juice of.5
145,360,461,1 oz
146,360,265,2 oz
147,360,785,.5 oz
148,360,574,.5 tsp
149,360,556,2 Dash(s)
150,384,461,2 oz
151,384,785,.5 oz
152,384,320,.5 oz
153,385,461,1 oz
154,385,265,.5 oz
155,385,342,1 Twist(s)
156,385,606,1 oz
157,386,461,1 oz
158,386,297,1 oz
159,386,785,1 tbsp
160,386,370,1 tsp
161,387,461,1.5 oz
162,387,530,1 oz
163,387,222,1 oz
164,387,429,1/4 tsp
165,388,461,1 oz
166,388,540,1 Scoop(s)
167,388,27,1 Scoop(s)
168,388,954,
169,388,691,.5 oz
170,389,461,2 oz
171,389,93,5 oz
172,391,461,2 oz
173,391,63,1 Slice(s)
174,391,104,1 tsp
175,391,342,1 Twist(s)
176,392,461,2.5 oz
177,392,364,3.5 oz
178,392,342,1/4 Juice of
179,393,461,1.5 oz
180,393,785,1 oz
181,393,251,1 Dash(s)
182,394,461,2 oz
183,394,545,1 oz
184,395,461,2 oz
185,395,574,1 tsp
186,395,300,
187,395,63,1 Slice(s)
188,395,342,.5 Juice of
189,395,233,1
190,396,461,2 oz
191,396,576,4 oz
192,396,342,1
193,397,461,3/4 oz
194,397,940,.5 oz
195,397,4,3/4 oz
196,397,405,.5 oz
197,399,461,2 oz
198,399,93,4 oz
199,415,461,.5 oz
200,415,523,1 tsp
201,415,785,2 tsp
202,415,421,.5 oz
203,415,405,2 tsp
204,415,869,1 oz
205,420,461,1 oz
206,420,297,3 oz
207,420,785,1/4 oz
208,420,4,.5 oz
209,420,104,1 tsp
210,420,342,1 Slice(s)
211,430,461,1 oz
212,430,976,1 oz
213,430,485,.5 oz
214,430,805,2 oz
215,433,461,1.5 oz
216,433,785,.5 oz
217,433,4,.5 oz
218,433,370,1/4 oz
219,435,461,1.5 oz
220,435,297,1/4 oz
221,435,495,3/4 oz
222,435,570,1/4 oz
223,435,32,3.5 oz
224,435,223,1
225,435,429,
226,436,461,1.5 oz
227,436,397,.5 oz
228,436,5,1/4 oz
229,437,461,2.5 oz
230,437,785,.5
231,437,574,1 tsp
232,437,302,1 tsp
233,437,342,1 Slice(s)
234,438,461,2.5 oz
235,438,785,1 oz
236,438,574,1 tsp
237,438,93,4 oz
238,439,461,1.5 oz
239,439,523,.5 tsp
240,439,785,1 oz
241,440,461,2 oz
242,440,300,
243,440,342,1 Twist(s)
244,441,461,1.5 oz
245,441,540,.5 Cups(s)
246,441,27,2 Scoop(s)
247,441,664,.5 oz
248,442,461,1.5 oz
249,442,368,1 oz
250,442,869,1 oz
251,443,461,2 oz
252,443,785,.5 oz
253,443,810,.5 oz
254,443,974,.5 oz
255,443,556,4 Dash(s)
256,444,461,2 oz
257,444,297,1 tbsp
258,444,574,.5 tsp
259,444,300,
260,444,302,1 tsp
261,444,429,
262,447,461,2 oz
263,447,485,2 oz
264,447,440,1 oz
265,448,461,1.5 oz
266,448,249,4 Dash(s)
267,448,570,1 oz
268,448,32,4 oz
269,450,461,1.5 oz
270,450,321,3/4 oz
271,450,300,
272,451,461,1.5 oz
273,451,249,1 Dash(s)
274,451,370,3/4 oz
275,452,461,2 oz
276,452,257,.5 oz
277,452,736,.5 oz
278,452,104,.5 tbsp
279,452,368,.5 oz
280,452,405,1 Dash(s)
281,453,461,1.5 oz
282,453,523,1 tsp
283,453,93,4.5 oz
284,453,104,1 tbsp
285,455,461,1.5 oz
286,455,263,3/4 oz
287,456,461,2 oz
288,456,321,1.5 oz
289,456,574,1 tsp tsp
290,456,93,3 oz
291,456,249,1 Dash(s)
292,456,235,
293,458,461,2 oz
294,458,574,.5 tsp
295,458,302,1 tsp
296,458,342,1 Twist(s)
297,459,461,2 oz
298,459,249,1 Dash(s)
299,459,869,1.5 oz
300,463,461,1.5 oz
301,463,4,.5 oz
302,463,606,1 oz
303,496,461,3/4 oz
304,496,297,1 oz
305,497,461,.5 oz
306,497,630,.5 oz
307,498,461,1.5 oz
308,498,785,1 oz
309,498,300,5 oz
310,498,630,.5 oz
311,498,570,1 oz
312,510,461,1 oz
313,510,851,1 oz
314,510,630,1 oz
315,510,277,4 oz
316,513,461,2 oz
317,513,851,1.5 oz
318,513,104,
319,513,342,.5 Juice of
320,513,961,
321,535,461,2 oz
322,535,574,1/2 tsp
323,535,342,1/2 Juice of
324,535,342,1/2 Slice(s)
325,535,233,1
326,537,461,2 oz
327,537,703,1
328,537,785,1 oz
329,537,574,1 tsp
330,537,4,1/2 oz
331,545,461,1.5 oz
332,545,658,1 1/4 oz
333,545,204,1 1/4 oz
334,602,461,2 oz
335,602,485,2 oz
336,602,499,2 oz
337,616,461,1.5 oz
338,616,495,1 oz
339,616,664,1 oz
340,616,429,1/4 tsp
341,617,461,1.5 oz
342,617,67,1 oz
343,617,104,1 tsp
344,617,954,1 Pinch(s)
345,617,32,4 oz
346,617,429,1 Pinch(s)
347,639,461,2 oz
348,639,940,.5 oz
349,639,928,.5 oz
350,650,461,2 oz
351,650,574,1 tsp
352,650,32,1 cup
353,650,429,
354,651,461,1.5 oz
355,651,67,1 oz
356,651,574,1 tsp
357,651,954,1 Pinch(s)
358,651,32,1 Cup(s)
359,651,429,
360,675,461,2 Shot(s)
361,675,785,1/2 tsp
362,675,249,1 dash
363,675,521,1 tsp
364,688,461,2 oz
365,688,297,1.5 oz
366,688,4,.5 tsp
367,724,461,1/4 cup
368,724,300,2 cups
369,724,374,125 g
370,724,66,3
371,724,847,1/3 cup
372,724,883,750 ml
373,724,833,1
374,724,908,3 cups
375,726,461,3/4 oz
376,726,485,3/4 oz
377,726,846,4 - 6 oz
378,734,461,1 Part(s)
379,734,257,1 Part(s)
380,734,666,2 Part(s)
381,736,461,1/3 oz
382,736,485,1/3 oz
383,736,790,1/3 oz
384,752,461,3/4 oz
385,752,703,1
386,752,851,2 - 3 Dash(s)
387,752,495,1/4 oz
388,752,570,1/4 oz
389,752,277,4 oz
390,752,429,1 Pinch(s)
391,754,461,.5 oz
392,754,963,.5 oz
393,754,277,10 oz
394,759,461,1.5 oz
395,759,4,1 oz
396,759,277,8 oz
397,766,461,.5 oz
398,766,851,.5 oz
399,766,104,1
400,766,556,
401,766,277,4 oz
402,854,461,1 oz
403,854,851,1 oz
404,854,27,2 tbsp
405,868,461,3 oz
406,868,359,1.5 oz
407,868,235,3-4 oz
408,868,817,2
409,869,461,.5 oz
410,869,666,1.5 oz
411,869,276,.5 oz
412,875,461,1 oz
413,875,461,1 oz
414,875,963,2 oz
415,875,67,1 oz
416,875,321,1
417,875,785,1
418,875,961,8
419,875,686,2 oz
420,881,461,1.5 oz
421,881,257,1.5 oz
422,881,321,1/4 oz
423,881,527,1 tsp
424,881,847,1 tsp
425,895,461,1.5 oz
426,895,523,1.5 tsp
427,895,785,2 tsp
428,895,4,1.5 tsp
429,895,233,1
430,895,276,.5 oz
431,907,461,1 Part(s)
432,907,785,1 Part(s)
433,907,4,1 Part(s)
434,907,619,2.5 Part(s)
435,907,556,5 Drop(s)
