,cocktail_id,name
0,0,American Beauty Cocktail
1,1,Azzuro
2,2,Apple Fairy
3,3,Black Rose Bacardi
4,4,Blue Latvian
5,5,Boston Cooler
6,6,Bessemer
7,7,Big Easy Martini
8,8,Black Watch
9,9,Beautiful
10,10,Bitter Hitter
11,11,Bloody Navel Screw
12,12,Burning Pine Needles
13,13,Apple Daiquiri
14,14,Bunny Bonzana
15,15,Blonde Moment
16,16,Bleeding Apple
17,17,Big Apple Cinnatini
18,18,Bearded Clam
19,19,Belgian Berry
20,20,Brighton Punch
21,21,Bourbon Float
22,22,Bourbon Sloe Gin Fizz
23,23,Beerbon Sour
24,24,Ario Bomb
25,25,Breakfast
26,26,Bourbon Toddy
27,27,Bloody Monkey
28,28,Bitches Ain`t Shit
29,29,The Berserker
30,30,Burnt Toasted Almond
31,31,Brady Brew
32,32,Bootlegger
33,33,Bleu Balls
34,34,Black and Fall
35,35,Arizona Aztec
36,36,Blue Ice Kool-Aid
37,37,Blue Punch
38,38,Bloody Beer
39,39,Bloody Piss
40,40,Between The Sheets
41,41,Blue Sky 2
42,42,Beautiful Side Ride
43,43,Black Stuff 2
44,44,Bourbon Black Hawk 2
45,45,Breath Taker
46,46,Apple Granny Crisp
47,47,Bronsky
48,48,Bellwitch
49,49,Bitch Slap
50,50,Brazilian Bitch
51,51,Blackberry Cola
52,52,Blackberry Smoothie
53,53,Blackberry Tequila
54,54,Buddy Rich
55,55,Bullshot
56,56,Butterscotch Martini
57,57,Apple Kiss
58,58,B-2
59,59,B-52 2
60,60,Bahama Mama NC
61,61,B-52 3
62,62,Babymama Drama
63,63,Bacardi Buck
64,64,Bacardi Cocktail
65,65,Balmoral
66,66,Baja Side Car
67,67,Banana Split
68,68,Apple Jim
69,69,Batida de Pina
70,70,Be Sweet
71,71,Beachcomber
72,72,Beach Bum Bob
73,73,Beach Peach
74,74,Beachcomber 2
75,75,Beady Little Eyes
76,76,Beam Black Bourbon
77,77,Beam Scream
78,78,Beam and 7
79,79,Apple Knocker
80,80,Beautiful Fungus
81,81,Beatle Juice
82,82,Beautiful Mila
83,83,Bedroom Farce
84,84,Bee Stinger
85,85,Bee-Stung Lips
86,86,Beef Curtains
87,87,Beef On Rye
88,88,Beergarita
89,89,Behind Enemy Razz
90,90,Arkansas Razorback
