,Name,text
0,Azzuro, shake and strain into an icefilled collins glass and garnish with fruit     exoticfruit liqueur    blue curacao liqueur    banana liqueur    passion fruit juice    apple juice   tsp egg
1,Apple Fairy, for this recipe make some juice  apple juice ice cubes before you start then add  juice  apple juice cubes to a cocktail glass add absinthe and apple vodka and fill with cider     herbal liqueur    apple vodka    apple soda
2,Black Rose Bacardi, shake or stir pour it into a coctail glass add some crushed ice and serve   ice    white rum    cola    lime juice
3,Blue Latvian, pour the jack daniels whiskey into a mixing glass add blue raspberry juice until the mixture is more blue than brown finish with lemonlime soda until the mixture is fizzing serve in a collins glass     bourbon whiskey  raspberry juice  lemonlime soda
4,Boston Cooler, stir lemon juice sugar and   of club soda together in a collins glass fill the glass with cracked ice add rum top with club soda and stir garnish with a spiral of orange or lemon peel and serve     white rum    lemon juice   tsp superfine sugar    club soda
5,Bessemer, pour all ingredients into a mixing glass halffilled with ice cubes stir well strain into an oldfashioned or rocks glass halffilled with ice cubes and serve     bourbon whiskey    bourbon whiskey   peach liqueur    sours
6,Big Easy Martini, combine ingredients with ice in a shaker shake well strain into chilled sugarrimmed martini glass garnish with a lime twist     raspberry liqueur    peach liqueur    lemonade    sours
7,Black Watch, pour all ingrediants into a shaker  full of ice stir well  strain into a highball glass     coffee liqueur    scotch whiskey   dashs soda water
8,Beautiful, pour each ingredient into a brandy snifter and serve     brandy    orange liqueur
9,Bitter Hitter, place all the fruits in a blender and puree add blue curacao and cointreau then pulse until combined add water and ice and pulse until combined serve in tall glass with rim dipped in sugar and lemon juice and a slice of orange on side     blue curacao liqueur    orange liqueur    water   oranges   grapefruit   tamarillo
10,Bloody Navel Screw, mix cointreau rum vodka and schnapps  peach schnapps in a glass filled with ice cubes and fill with orange juice leaving enough room to top with grenadine     mandarin vodka    orange rum   tsp orange liqueur    peach schnapps    grenadine syrup    orange juice
11,Burning Pine Needles, combine all ingredients in a pitcher or punch bowl mix well and serve to guests     gin    pepper soda   vodka    spiced rum    triple sec    chocolate milk    chocolate milk   litres chocolate milk   tsp chocolate milk   tsp energy soda
12,Apple Daiquiri, combine ingredients in a shaker  full of ice shake and strain into a chilled cocktail glass     rum    apple juice   lime juice   tsp sugar
13,Bunny Bonzana, pour the tequila apple brandy triple sec lemon juice and maple syrup into a cocktail shaker halffilled with ice cubes strain into a chilled oldfashioned glass garnish with a slice of lemon and serve     tequila    apple brandy   dashs triple sec    lemon juice   tsp maple syrup
14,Blonde Moment, mix over ice and garnish with a cherry     lemon rum    blue curacao liqueur    grenadine syrup    sours   splashs soda water
15,Bleeding Apple, add currant vodka and raspberry liqueur to a glass with ice fill with juice  apple juice and add a dash of grenadine add diced pieces of fruit     blackcurrant vodka    raspberry liqueur      apple juice   splashs grenadine syrup   apples   raspberries   strawberries
16,Big Apple Cinnatini, shake with ice and strain into chilled martini glass garnish with a cinnamon stick     apple rum    coffee liqueur   cinnamon schnapps    halfandhalf
17,Bearded Clam, pour all ingredients over crushed ice in a cocktail glass stir and serve     canadian whisky    almond liqueur   splashs cranberry juice
18,Belgian Berry, combine black haus and baileys irish cream over ice in a rocks or oldfashioned glass garnish with fresh berries and serve     blackberry schnapps    irish cream
19,Brighton Punch, shake over ice cubes in a shaker strain into a collins glass over ice cubes and serve     brandy    bourbon whiskey    benedictine herbal liqueur    lemon juice    orange juice   tsp superfine sugar
20,Bourbon Float, chill a beer mug add two scoops of vanilla ice cream then bourbon fill with coke     bourbon whiskey  cola   scoops ice cream
21,Bourbon Sloe Gin Fizz, pour the bourbon whiskey sloe gin and lemon juice over cracked ice in a chilled collins glass stir gently add  ice cubes and fill with sodasparkling water garnish with a maraschino cherry and a slice of lemon and serve     bourbon whiskey    gin   tsp lemon juice  soda water
22,Beerbon Sour, mix lemonade concentrate with bourbon add cold beer slowly and stir gently serve with plenty of ice     bitter beer    bourbon whiskey    lemonade
23,Ario Bomb, build over ice in glass garnish with  cherries     vodka    grenadine syrup  fill with cola
