,ingredient_id,ingredients
0,0,
1,1,Iced Tea
2,2,Italian Amaro
3,3,Simple Syrup
4,4,Triple Sec
5,5,Scotch Liqueur
6,6,Blue Raspberry mix
7,7,Vanilla Vodka
8,8,Chocolate Chips
9,9,Sparkling Wine
10,10,Sage Leaves
11,11,(15 ml) OP Rum
12,12,Passionfruit Liqueur
13,13,Lavender Syrup
14,14,Blackcurrant Squash
15,15,Tea
16,16,Whiskey - or
17,17,Whipped Cream
18,18,(43 ml) Dry Gin
19,19,Agave Syrup
20,20,Horseradish
21,21,Lemon - Wedges
22,22,Bourbon
23,23,Tequila Liqueur
24,24,lime
25,25,Creme de Fraise des Bois
26,26,Cherry Cola
27,27,Ice Cream
28,28,Watermelon Liqueur
29,29,Gin - or
30,30,Pimm's No. 1
31,31,lemon twist - Garnish
32,32,Milk
33,33,Chocolate Mint Liqueur
34,34,mint leaves
35,35,Raisins
36,36,Clam Juice
37,37,Lychee(s)
38,38,Vanilla Rum
39,39,Lemon Grass
40,40,Carrot Juice
41,41,(52.5 ml) Gin
42,42,Blood Orange
43,43,Vanilla Liqueur
44,44,(14.79 ml) Honey
45,45,Black Pepper
46,46,blueberries
47,47,Daiquiri Mix
48,48,apple slices
49,49,Alcohol
50,50,Vanilla Cream Soda
51,51,BBQ Sauce
52,52,Green food colouring
53,53,Cranberry-Apple Juice
54,54,Water - Hot / Boiling
55,55,(1 dash) Chocolate Sauce
56,56,Cherry Cordial
57,57,100 proof Vodka
58,58,(30 ml) Orange Juice
59,59,Caramel Sauce
60,60,Pitch Black Soda
61,61,Tangerine Juice
62,62,Guavaberry Liqueur
63,63,Orange(s)
64,64,(21.26 ml) Coconut Vodka
65,65,bourbon
66,66,Lime
67,67,White Rum
68,68,Tomato Juice
69,69,Chocolate Shavings
70,70,Tangerine Schnapps
71,71,Blueberry Jello - / Jelly
72,72,Peach Puree
73,73,Sour Apple Schanpps
74,74,Lemon Soda Water
75,75,Lime Soda
76,76,Elderflower Liqueur
77,77,Raspberry Iced Tea
78,78,Basil Leaves
79,79,Apricot Nectar
80,80,Coconut Vodka
81,81,Passion-Fruit syrup
82,82,Dry Gin
83,83,Tonic Water
