Name,Description,Recipe,Ingredients,Nutrition Facts,Video Link
Azzuro,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Shake and strain into an ice-filled collins glass. and garnish with fruit., | 1 oz: Exotic-Fruit Liqueur | 1 oz: Blue Curacao Liqueur | 1 oz: Banana Liqueur | 2 oz: Passion Fruit Juice | 2 oz: Apple Juice | 1 tsp: Egg,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Apple Fairy,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",For this recipe. make some Juice - Apple Juice ice cubes before you start. Then add 3 Juice - Apple Juice cubes to a cocktail glass. Add absinthe and apple Vodka. and fill with cider., | 2/3 oz: Herbal Liqueur | 2/3 oz: Apple Vodka | 3 oz: Apple Soda,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Black Rose Bacardi,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Shake or stir. pour it into a coctail glass. add some crushed ice and serve., |: Ice | 1 oz: White Rum | 2 oz: Cola | 2 oz: Lime Juice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Blue Latvian,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the Jack Daniel`s whiskey into a mixing glass. Add blue raspberry juice until the mixture is more blue than brown. Finish with lemon-lime soda until the mixture is fizzing. Serve in a collins glass., | 1 oz: Bourbon Whiskey |: Raspberry Juice |: Lemon-Lime Soda,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Boston Cooler,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Stir lemon juice. sugar and 2 oz of club soda together in a collins glass. Fill the glass with cracked ice. Add rum. Top with club soda. and stir. Garnish with a spiral of orange or lemon peel. and serve., | 2 oz: White Rum | 1 oz: Lemon Juice | 1 tsp: Superfine Sugar | 3-4 oz: Club Soda,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Bessemer,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour all ingredients into a mixing glass half-filled with ice cubes. Stir well. Strain into an old-fashioned or rocks glass half-filled with ice cubes. and serve., | .5 oz: Bourbon Whiskey | .5 oz: Bourbon Whiskey | .5:oz: Peach Liqueur | 2 oz: Sours,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Big Easy Martini,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Combine ingredients with ice in a shaker. Shake well. Strain into chilled. sugar-rimmed martini glass. Garnish with a lime twist., | .5 oz: Raspberry Liqueur | 1.5 oz: Peach Liqueur | 1 oz: Lemonade | 1 oz: Sours,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Black Watch,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour all ingrediants into a shaker 2/3 full of ice. Stir well - strain into a highball glass., | 1.5 oz: Coffee Liqueur | 1.5 oz: Scotch Whiskey | 1 Dash(s): Soda Water,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Beautiful,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour each ingredient into a brandy snifter and serve., | 1 oz: Brandy | 1 oz: Orange Liqueur,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Bitter Hitter,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Place all the fruits in a blender and puree. add blue curacao and Cointreau then pulse until combined. Add water and ice and pulse until combined. Serve in tall glass with rim dipped in sugar and lemon juice and a slice of orange on side., | 3 oz: Blue Curacao Liqueur | 2 oz: Orange Liqueur | 4 oz: Water | 1: Orange(s) | 1: Grapefruit | 1: Tamarillo,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
