cocktail_id,name,sugar,calories
1722,"Cherry Fizz Cocktail",0.4g,140kcal
2281,Fifty-Fifty,0.01g,141kcal
2519,"Gin Cocktail",0.2g,199kcal
2696,"Hot buttered rum",0.2g,174kcal
2697,"Hot Totty Cocktail",0.2g,578kcal
2941,"The Joker Cocktail",0.1g,209kcal
3425,"Martini Milano",0.004g,154kcal
4465,"VNQ Cocktail",0.2g,259kcal
4470,"Vodka Jello Shots",0.4g,29kcal
22,"Bourbon Sloe Gin Fizz",1g,198kcal
409,"Bullfrog 2",1g,3kcal
709,"Bellini Glow Cocktail",1g,28kcal
1721,"Caribou Martini",0.5g,186kcal
2221,"Mason Jar Aperol Spritz",1g,126kcal
2301,"Gin and Tonic",1g,136kcal
2516,"Gimlet 2",1g,67kcal
2521,Gimlet,1g,131kcal
2943,"The Jewel",0.5g,371kcal
3526,"Red Light, Green Light – Squid Game Shot",1g,10kcal
3608,Penicillin,1g,169kcal
4246,"Stoli-Bolli Cocktail",1g,141kcal
4279,"Tiffany`s Wet and Ready",1g,103kcal
4426,"Vieux Carre",1g,203kcal
4466,"Viniq Vixen",1g,393kcal
4508,"Wet Kiss",1g,6kcal
4611,"Allied Requirements",1g,126kcal
4612,"Absent Friend",1g,106kcal
4617,"American Flyer Cocktail",1g,109kcal
4629,"A-List Ruby Cocktail",1g,333kcal
4631,"A-List Cocktail",0.5g,435kcal
4675,"Aperol Spritz",1g,173kcal
4894,"Articuno Pokemon Cocktail",1g,51kcal
675,"Brandy Crusta",2g,166kcal
692,"Blizzard Cocktail",2g,149kcal
913,"Corpse Reviver",2g,166kcal
1708,"Christmas Martini",2g,210kcal
1736,"Dark ‘n Stormy",2g,141kcal
2280,Farthingale,2g,1062kcal
2691,"Hilgert Cocktail",2g,97kcal
3459,"Brockmans Summer Negroni",2g,229kcal
3786,"Pisco Sour",2g,21kcal
3839,"Pink Lady Cocktail",2g,119kcal
3990,"Raspiroska Cocktail",2g,82kcal
4018,"Ten Spot Cocktail",2g,141kcal
4254,"Shimmer Snap Shot",2g,281kcal
674,Boomerang,3g,160kcal
1717,"Catwoman Cocktail",3g,57kcal
2276,"Froth Blower Cocktail",3g,196kcal
2310,"Gingerbread martini",3g,604kcal
2825,"Jello Shots in Oranges",3g,161kcal
3605,"Paper Plane",3g,204kcal
3845,"Peking Cocktail",3g,155kcal
4251,"A Dixon Thing",3g,169kcal
4362,"A Little Dick`ll Do",3g,160kcal
4471,"Whiskey Sour",3g,158kcal
4559,"414SS Daiquiri",3g,1552kcal
4607,"Amer Picon Cocktail",3g,198kcal
4642,"Mason Jar Bloody Mary",3g,148kcal
4788,"Bombay Bellini",3g,140kcal
370,"Bourbon Old-Fashioned",4g,161kcal
688,"Betsy Ross Cocktail",4g,215kcal
1391,"Champagne Cocktail",4g,26kcal
1729,"Carnival Punch",4g,16kcal
1980,"Halloween Eyeball Jello Shots",4g,1240kcal
2515,Gibson,4g,124kcal
2813,"Ice Pick Cocktail",4g,83kcal
2942,"Jungle Juice",4g,120kcal
3601,"Old Fashioned Cocktail",4g,157kcal
3609,Paloma,4g,151kcal
3842,"Pepper Bloody Mary",4g,169kcal
4270,"Tropical Glam Cocktail",4g,447kcal
4417,"A Nap at Charlie`s",4g,33kcal
4561,".50 Caliber",4g,419kcal
4568,7,4g,228kcal
4872,"Aperol Schuhmann",4g,120kcal
438,"Brandy Fizz",5g,186kcal
696,"Batman Vs Superman False God Cocktail",5g,184kcal
