cocktail,occurrence
"Martini Cocktails",137
"Iced Cocktails",98
"Bloody Cocktails",77
"Tea Cocktails",57
"Rum Cocktails",57
"Punch Cocktails",56
"Colada Cocktails",47
"Fizz Cocktails",32
"Island Cocktails",31
"Coffee Cocktails",29
"Daiquiri Cocktails",24
"Margarita Cocktails",24
"Mexican Cocktails",21
"Beer Cocktails",20
"Tropical Cocktails",17
"Sex On Cocktails",15
"Tequila Cocktails",14
"Collins Cocktails",13
"Mai Tai Cocktails",13
"Mojito Cocktails",12
"Absinthe Cocktails",10
"Mule Cocktails",6
"Caipirinha Cocktails",5
