cocktail_id,name,sugar,calories
409,"Bullfrog 2",1g,3kcal
4508,"Wet Kiss",1g,6kcal
3526,"Red Light, Green Light – Squid Game Shot",1g,10kcal
1729,"Carnival Punch",4g,16kcal
3786,"Pisco Sour",2g,21kcal
1391,"Champagne Cocktail",4g,26kcal
709,"Bellini Glow Cocktail",1g,28kcal
4470,"Vodka Jello Shots",0.4g,29kcal
4417,"A Nap at Charlie`s",4g,33kcal
4894,"Articuno Pokemon Cocktail",1g,51kcal
1717,"Catwoman Cocktail",3g,57kcal
2516,"Gimlet 2",1g,67kcal
3990,"Raspiroska Cocktail",2g,82kcal
2813,"Ice Pick Cocktail",4g,83kcal
2277,"Florida Cocktail",5g,87kcal
2691,"Hilgert Cocktail",2g,97kcal
4279,"Tiffany`s Wet and Ready",1g,103kcal
4612,"Absent Friend",1g,106kcal
4617,"American Flyer Cocktail",1g,109kcal
4549,"2000 Flushes",6g,112kcal
